gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group A,associate's degree,standard,none,71,67,62
female,group D,some high school,standard,completed,92,100,100
female,group C,high school,free/reduced,none,28,47,42
male,group B,high school,free/reduced,none,69,74,68
male,group B,some college,standard,none,70,59,63
male,group C,high school,standard,none,81,82,76
male,group C,some high school,standard,none,84,90,83
female,group C,some high school,standard,none,63,71,72
male,group C,high school,standard,none,58,57,52
male,group B,associate's degree,standard,none,51,48,41
male,group D,associate's degree,standard,none,57,48,49
female,group C,some college,standard,completed,85,100,100
female,group D,bachelor's degree,standard,completed,98,100,100
female,group E,some high school,standard,none,84,91,91
female,group C,some high school,standard,completed,54,61,62
male,group D,associate's degree,standard,none,82,78,76
male,group B,bachelor's degree,free/reduced,none,56,64,49
female,group D,some college,free/reduced,none,57,59,60
female,group C,some college,standard,completed,68,72,72
female,group B,bachelor's degree,free/reduced,completed,58,66,71
female,group E,some high school,standard,none,100,95,98
male,group C,high school,standard,none,71,72,67
male,group C,some college,standard,none,65,55,52
male,group C,some college,free/reduced,completed,65,66,62
female,group B,some college,standard,none,58,71,65
female,group D,some high school,standard,completed,60,71,65
male,group D,bachelor's degree,standard,none,64,52,53
female,group C,some college,free/reduced,none,44,51,54
female,group C,some college,standard,none,50,67,68
male,group C,some college,free/reduced,none,62,56,52
female,group D,some high school,free/reduced,none,30,44,41
female,group C,master's degree,standard,completed,72,85,91
female,group B,some college,standard,none,68,80,74
female,group D,master's degree,standard,none,63,77,73
male,group C,some high school,free/reduced,none,48,55,53
male,group C,some college,standard,completed,66,56,61
male,group B,some high school,standard,none,62,63,56
male,group D,bachelor's degree,standard,completed,81,67,81
female,group C,some high school,standard,none,82,86,84
female,group B,some college,standard,completed,56,62,70
male,group C,some college,standard,none,92,94,88
female,group D,some college,standard,completed,72,65,75
male,group B,associate's degree,free/reduced,none,53,52,55
female,group C,associate's degree,standard,completed,69,72,72
male,group C,bachelor's degree,standard,completed,88,93,89
male,group D,master's degree,free/reduced,none,55,51,53
male,group C,some high school,standard,none,60,45,44
female,group D,associate's degree,standard,none,44,45,47
female,group C,bachelor's degree,standard,none,63,82,75
female,group B,some high school,free/reduced,none,30,44,42
male,group C,bachelor's degree,standard,completed,81,83,87
male,group D,bachelor's degree,standard,completed,76,80,76
female,group E,some high school,free/reduced,none,62,77,76
male,group C,some college,standard,none,82,76,73
male,group C,some college,free/reduced,none,63,63,59
male,group D,some college,free/reduced,completed,39,36,42
female,group A,high school,free/reduced,none,68,84,81
male,group E,bachelor's degree,standard,completed,85,86,83
female,group B,high school,free/reduced,none,65,84,83
female,group E,high school,standard,completed,84,94,90
male,group B,some college,free/reduced,none,84,78,76
male,group C,some high school,standard,none,74,62,65
female,group A,associate's degree,free/reduced,completed,67,68,75
female,group C,associate's degree,standard,completed,86,100,100
female,group C,high school,free/reduced,none,0,18,12
female,group D,some high school,standard,none,68,67,69
male,group C,some high school,standard,completed,75,68,67
female,group B,associate's degree,free/reduced,completed,50,76,70
male,group C,high school,standard,none,58,53,55
male,group E,bachelor's degree,standard,none,99,77,82
male,group C,some high school,standard,none,57,55,45
female,group A,high school,standard,none,60,72,67
male,group B,some high school,free/reduced,none,52,45,40
female,group C,associate's degree,standard,none,79,91,95
female,group A,high school,standard,completed,58,68,72
female,group D,some high school,standard,none,64,68,64
male,group B,some college,standard,none,59,58,61
male,group A,associate's degree,free/reduced,none,56,51,53
male,group D,some college,standard,none,59,60,56
female,group B,associate's degree,free/reduced,none,53,69,66
male,group E,associate's degree,standard,none,91,90,80
male,group B,associate's degree,standard,none,75,67,68
male,group E,associate's degree,standard,completed,100,85,96
male,group D,high school,standard,none,82,74,81
female,group C,bachelor's degree,free/reduced,none,53,71,63
female,group C,some college,free/reduced,completed,67,73,81
male,group C,bachelor's degree,standard,none,81,70,68
female,group E,master's degree,free/reduced,none,62,67,68
male,group D,high school,standard,completed,83,65,70
male,group C,some high school,standard,none,66,64,62
male,group B,associate's degree,standard,none,71,71,67
female,group D,some high school,standard,none,55,64,57
female,group C,associate's degree,standard,completed,63,84,86
male,group B,associate's degree,standard,completed,77,77,77
female,group B,some high school,standard,none,78,76,82
male,group C,associate's degree,standard,completed,85,83,83
male,group E,associate's degree,free/reduced,none,83,91,86
male,group C,some high school,standard,completed,53,60,57
female,group C,some college,free/reduced,none,48,66,67
male,group D,some college,standard,none,78,69,75
female,group D,bachelor's degree,standard,none,66,83,80
male,group B,associate's degree,free/reduced,none,57,63,60
male,group A,associate's degree,standard,completed,77,75,73
male,group C,some college,standard,none,62,60,55
male,group C,high school,free/reduced,none,35,46,36
female,group C,some college,free/reduced,completed,53,65,67
male,group A,some college,free/reduced,none,46,56,45
male,group D,some high school,free/reduced,none,61,59,65
male,group C,some college,free/reduced,completed,47,57,48
male,group E,bachelor's degree,standard,completed,100,100,99
male,group D,high school,standard,none,87,77,78
male,group D,high school,standard,completed,65,60,61
male,group A,bachelor's degree,standard,completed,82,86,83
female,group B,associate's degree,standard,none,60,78,71
male,group E,some college,free/reduced,none,66,60,57
male,group B,some college,free/reduced,none,81,69,68
female,group E,high school,free/reduced,completed,74,81,80
female,group E,bachelor's degree,standard,none,86,100,96
female,group C,bachelor's degree,free/reduced,none,74,72,78
male,group B,associate's degree,standard,completed,88,94,87
male,group D,some high school,free/reduced,completed,59,67,64
female,group A,high school,standard,none,82,92,90
male,group C,some college,standard,none,61,59,60
female,group C,some high school,standard,completed,65,72,82
female,group B,some college,standard,none,81,82,76
female,group D,high school,free/reduced,completed,76,81,84
male,group C,associate's degree,standard,none,78,73,69
female,group C,associate's degree,free/reduced,completed,57,71,70
male,group C,some high school,standard,none,56,55,54
male,group B,some high school,standard,none,76,60,58
female,group E,high school,free/reduced,completed,61,68,64
male,group B,associate's degree,standard,completed,62,53,61
female,group D,bachelor's degree,standard,none,86,89,93
female,group C,high school,free/reduced,none,33,55,46
female,group E,high school,standard,none,66,68,61
female,group A,some college,standard,none,66,73,73
male,group B,bachelor's degree,standard,completed,74,70,71
male,group B,bachelor's degree,standard,completed,70,57,63
female,group C,associate's degree,standard,none,51,61,54
male,group B,some high school,free/reduced,completed,78,80,78
female,group E,some college,free/reduced,completed,68,77,72
male,group D,bachelor's degree,free/reduced,completed,87,85,89
female,group B,some high school,free/reduced,none,51,45,48
male,group D,some college,free/reduced,completed,75,83,83
female,group C,master's degree,free/reduced,none,82,85,88
female,group E,high school,standard,none,80,82,78
female,group C,associate's degree,standard,none,40,55,48
male,group A,associate's degree,standard,completed,50,51,51
female,group E,some high school,free/reduced,completed,73,79,83
female,group D,some high school,standard,none,55,63,64
female,group A,some high school,free/reduced,completed,66,73,74
male,group C,some college,standard,completed,79,76,68
male,group B,high school,standard,none,77,79,67
male,group A,high school,free/reduced,none,46,44,37
male,group B,some college,standard,completed,77,67,71
male,group D,high school,standard,none,79,76,71
female,group B,master's degree,standard,none,55,69,67
male,group D,some college,free/reduced,none,74,67,65
male,group C,some college,free/reduced,none,75,68,61
male,group B,some college,standard,none,66,67,59
female,group D,some college,free/reduced,none,49,56,59
male,group C,some high school,standard,none,87,89,82
female,group C,some high school,standard,none,76,88,85
female,group B,high school,standard,none,57,68,61
female,group C,associate's degree,standard,completed,63,60,67
female,group E,some college,free/reduced,none,40,54,53
female,group C,bachelor's degree,standard,completed,62,57,55
male,group D,some college,free/reduced,completed,76,79,78
female,group B,bachelor's degree,standard,completed,73,86,91
female,group C,bachelor's degree,standard,none,48,56,52
female,group E,associate's degree,free/reduced,none,70,80,74
female,group D,bachelor's degree,standard,completed,84,99,98
female,group E,some college,free/reduced,none,42,52,50
female,group D,bachelor's degree,free/reduced,none,67,74,77
female,group E,bachelor's degree,free/reduced,completed,72,80,84
female,group E,some high school,standard,none,71,71,69
male,group A,bachelor's degree,free/reduced,none,47,61,61
male,group D,associate's degree,standard,none,70,68,70
male,group B,associate's degree,free/reduced,none,65,68,61
male,group C,high school,standard,none,69,65,61
female,group D,bachelor's degree,standard,none,69,80,81
female,group D,associate's degree,free/reduced,none,55,68,65
female,group C,some college,standard,completed,87,95,93
female,group B,some college,standard,none,80,94,89
male,group B,some high school,standard,none,77,74,65
female,group D,master's degree,standard,none,84,86,92
female,group C,high school,free/reduced,none,44,57,54
female,group E,some college,standard,completed,73,74,79
male,group C,some college,free/reduced,completed,71,69,67
female,group B,master's degree,standard,none,64,68,75
